Redirect from,Redirect to,type,note
/%f0%9f%8d%aa-choc-chip-high-protein-carob-cookies/,/blogs/news/choc-chip-high-protein-carob-cookies,blog post,SLUG-CLEANED (emoji stripped)
/benefits-of-caffeine-free-carob/,/blogs/news/benefits-of-caffeine-free-carob,blog post,DIRECT
/carob-as-a-nighttime-alternative-the-perfect-way-to-unwind-without-stimulation/,/blogs/news/carob-as-a-nighttime-alternative-the-perfect-way-to-unwind-without-stimulation,blog post,DIRECT
/carob-information/,/pages/carob-information,page,DIRECT
/carobs-calming-effects-on-the-body-mind/,/blogs/news/carobs-calming-effects-on-the-body-mind,blog post,DIRECT
/category/uncategorized/,/blogs/news/category/uncategorized,blog post,DIRECT
/contact-us/,/pages/contact-us,page,DIRECT
/events-retreat-catering/,/pages/events-retreat-catering,page,DIRECT
/gfe-mail-capture/,/pages/newsletter,page,DIRECT
/how-to-buy/,/pages/how-to-buy,page,DIRECT
/ingredients/,/pages/ingredients,page,DIRECT
/lets-keep-in-touch/,/pages/newsletter,page,DIRECT
/manage-profile-2/,/account,page,DIRECT
/manage-profile/,/account,page,DIRECT
/my-account/,/account,page,DIRECT
/our-story/,/pages/our-story,page,DIRECT
/play/,/pages/play,page,DIRECT
/product-category/carob-bananas/,/collections/carob-bananas,collection,DIRECT
/product-category/carob-bars/,/collections/carob-bars,collection,DIRECT
/product-category/carob-crescents/,/collections/carob-crescents,collection,DIRECT
/product-category/carob-elixirs/,/collections/carob-elixirs,collection,DIRECT
/product-category/eclipse-bites/,/collections/eclipse-bites,collection,DIRECT
/product-category/maple-moon-products/,/collections/all,collection,MERGED
/product/access-cap-ecru/,/products/access-cap-ecru,product,DIRECT
/product/bucket-hat-ecru/,/products/bucket-hat-ecru,product,DIRECT
/product/carob-coated-bananas-20g/,/products/carob-coated-bananas-20g,product,DIRECT
/product/carob-elixir-150g/,/products/carob-elixir-150g,product,DIRECT
/product/coconut-goji-carob-bar-90g-4/,/products/coconut-goji-carob-bar-90g-4,product,DIRECT
/product/eclipse-bite-bundle-5-x-50g-treats/,/products/eclipse-bite-bundle-5-x-50g,product,RENAMED
/product/goji-ripe-eclipse-bite-50g/,/products/goji-ripe-eclipse-bite-50g,product,DIRECT
/product/hazelnut-eclipse-bite-50g/,/products/hazelnut-eclipse-bite-50g,product,DIRECT
/product/lavender-bougainvillaea-bath-salts-500g/,/products/lavender-bougainvillaea-bath-salts-500g,product,DIRECT
/product/mens-classic-organic-tee/,/products/mens-classic-organic-tee,product,DIRECT
/product/mens-relax-hoodie/,/products/mens-relax-hoodie,product,DIRECT
/product/og-coconut-goji-crescent-moons-12g/,/products/og-coconut-goji-crescent-moons-12g,product,DIRECT
/product/organic-vegan-almond-chunks-rock-salt-carob-crescent-moon-12g/,/products/organic-vegan-almond-chunks-rock-salt-carob-crescent-moon-12g,product,DIRECT
/product/organic-vegan-bundle-of-carob-bars-6x90g/,/products/organic-vegan-bundle-of-carob-bars-6x90g,product,DIRECT
/product/organic-vegan-carob-almond-celtic-salt-bar-90g/,/products/organic-vegan-carob-almond-celtic-salt-bar-90g,product,DIRECT
/product/organic-vegan-carob-cayenne-chilli-celtic-salt-bar-90g/,/products/organic-vegan-carob-cayenne-chilli-celtic-salt-bar-90g,product,DIRECT
/product/organic-vegan-hazelnut-carob-bar-90g/,/products/organic-vegan-hazelnut-carob-bar-90g,product,DIRECT
/product/organic-vegan-peppermint-buckwheat-crisp-carob-bar-90g/,/products/organic-vegan-peppermint-buckwheat-crisp-carob-bar-90g,product,DIRECT
/product/organic-vegan-peppermint-buckwheat-crisp-carob-crescent-moon-12g/,/products/organic-vegan-peppermint-buckwheat-crisp-carob-crescent-moon-12g,product,DIRECT
/product/organic-vegan-pure-carob-cacao-butter-carob-bar-90g/,/products/organic-vegan-pure-carob-cacao-butter-carob-bar-90g,product,DIRECT
/product/organic-vegan-roasted-hazelnut-carob-crescent-moon-12g/,/products/organic-vegan-roasted-hazelnut-carob-crescent-moon-12g,product,DIRECT
/product/pecan-nut-eclipse-bite-50g/,/products/pecan-nut-eclipse-bite-50g,product,DIRECT
/product/premium-organic-carob-powder-roasted-300g/,/products/premium-organic-carob-powder-roasted-300g,product,DIRECT
/product/salted-almond-eclipse-bite-50g/,/products/salted-almond-eclipse-bite-50g,product,DIRECT
/product/salted-caramel-fudge-70g/,/products/salted-caramel-fudge-50g,product,RENAMED
/product/spiced-carob-elixir/,/products/spiced-carob-elixir,product,DIRECT
/product/womens-maple-organic-tee-natural/,/products/womens-maple-organic-tee-natural,product,DIRECT
/product/womens-relax-crew-jumper/,/products/womens-relax-crew-jumper,product,DIRECT
/products/,/collections/all,page,DIRECT
/rituals-recipes/,/blogs/rituals-recipes,page,DIRECT
/shipping-returns/,/policies/shipping-policy,page,DIRECT
/shop-2/,/collections/all,page,DIRECT
/shop/,/collections/all,page,DIRECT
/store-and-care/,/pages/store-and-care,page,DIRECT
/store-locator/,/pages/store-locator,page,DIRECT
/sugar-free-carob/,/blogs/news/sugar-free-carob,blog post,DIRECT
/why-carob-is-free-from-preservatives-stabilisers-emulsifiers/,/blogs/news/why-carob-is-free-from-preservatives-stabilisers-emulsifiers,blog post,DIRECT
